city_ascii,lat,lng,country,iso2,iso3,admin_name,capital
Faizabad,37.1298,70.5792,Afghanistan,AF,AFG,Badakhshān,admin
Qal`ah-ye Now,34.983,63.1333,Afghanistan,AF,AFG,Bādghīs,admin
Baghlan,36.1393,68.6993,Afghanistan,AF,AFG,Baghlān,minor
Pul-e Khumri,35.9511,68.7011,Afghanistan,AF,AFG,Baghlān,admin
Mazar-e Sharif,36.7,67.1,Afghanistan,AF,AFG,Balkh,admin
Balkh,36.7501,66.8997,Afghanistan,AF,AFG,Balkh,minor
Bamyan,34.8211,67.521,Afghanistan,AF,AFG,Bāmyān,admin
Nili,33.7218,66.1302,Afghanistan,AF,AFG,Dāykundī,admin
Farah,32.3917,62.0968,Afghanistan,AF,AFG,Farāh,admin
Maimanah,35.9302,64.7701,Afghanistan,AF,AFG,Fāryāb,admin
Andkhoy,36.9317,65.1015,Afghanistan,AF,AFG,Fāryāb,minor
Ghazni,33.5633,68.4178,Afghanistan,AF,AFG,Ghaznī,admin
Fayroz Koh,34.5167,65.25,Afghanistan,AF,AFG,Ghōr,admin
Lashkar Gah,31.583,64.36,Afghanistan,AF,AFG,Helmand,admin
Herat,34.33,62.17,Afghanistan,AF,AFG,Herāt,admin
Karukh,34.4868,62.5918,Afghanistan,AF,AFG,Herāt,minor
Shibirghan,36.658,65.7383,Afghanistan,AF,AFG,Jowzjān,admin
Kabul,34.5167,69.1833,Afghanistan,AF,AFG,Kābul,primary
Kandahar,31.61,65.6949,Afghanistan,AF,AFG,Kandahār,admin
Mahmud-e Raqi,35.0167,69.3333,Afghanistan,AF,AFG,Kāpīsā,admin
Khost,33.3395,69.9204,Afghanistan,AF,AFG,Khōst,admin
Asadabad,34.866,71.15,Afghanistan,AF,AFG,Kunaṟ,admin
Kunduz,36.728,68.8725,Afghanistan,AF,AFG,Kunduz,admin
Mehtar Lam,34.65,70.1667,Afghanistan,AF,AFG,Laghmān,admin
Pul-e `Alam,33.9953,69.0227,Afghanistan,AF,AFG,Lōgar,admin
Baraki Barak,33.9667,68.9667,Afghanistan,AF,AFG,Lōgar,minor
Jalalabad,34.4415,70.4361,Afghanistan,AF,AFG,Nangarhār,admin
Zaranj,31.112,61.887,Afghanistan,AF,AFG,Nīmrōz,admin
Parun,35.4206,70.9226,Afghanistan,AF,AFG,Nūristān,admin
Sharan,33.1757,68.7304,Afghanistan,AF,AFG,Paktīkā,admin
Zarghun Shahr,32.85,68.4167,Afghanistan,AF,AFG,Paktīkā,
Gardez,33.6001,69.2146,Afghanistan,AF,AFG,Paktiyā,admin
Bazarak,35.3129,69.5152,Afghanistan,AF,AFG,Panjshir,admin
Charikar,35.0183,69.1679,Afghanistan,AF,AFG,Parwān,admin
Aibak,36.261,68.04,Afghanistan,AF,AFG,Samangān,admin
Sar-e Pul,36.2154,65.9325,Afghanistan,AF,AFG,Sar-e Pul,admin
Taluqan,36.73,69.54,Afghanistan,AF,AFG,Takhār,admin
Tarin Kot,32.6333,65.8667,Afghanistan,AF,AFG,Uruzgān,admin
Maidan Shahr,34.3956,68.8662,Afghanistan,AF,AFG,Wardak,admin
Kotah-ye `Ashro,34.45,68.8,Afghanistan,AF,AFG,Wardak,
Qalat,32.1123,66.8868,Afghanistan,AF,AFG,Zābul,admin
Berat,40.71,19.972,Albania,AL,ALB,Berat,admin
Corovode,40.5167,20.2333,Albania,AL,ALB,Berat,
Peshkopi,41.6833,20.4333,Albania,AL,ALB,Dibër,admin
Burrel,41.626,20.016,Albania,AL,ALB,Dibër,
Durres,41.3178,19.4482,Albania,AL,ALB,Durrës,admin
Kruje,41.519,19.797,Albania,AL,ALB,Durrës,
Elbasan,41.1215,20.0838,Albania,AL,ALB,Elbasan,admin
Librazhd,41.2,20.3667,Albania,AL,ALB,Elbasan,
Gramsh,40.8667,20.2,Albania,AL,ALB,Elbasan,
Fier,40.73,19.573,Albania,AL,ALB,Fier,admin
Lushnje,40.94,19.716,Albania,AL,ALB,Fier,
Gjirokaster,40.079,20.149,Albania,AL,ALB,Gjirokastër,admin
Tepelene,40.2833,20.0333,Albania,AL,ALB,Gjirokastër,
Permet,40.234,20.352,Albania,AL,ALB,Gjirokastër,
Korce,40.6167,20.7667,Albania,AL,ALB,Korçë,admin
Pogradec,40.9,20.664,Albania,AL,ALB,Korçë,
Erseke,40.3333,20.6833,Albania,AL,ALB,Korçë,
Kukes,42.083,20.434,Albania,AL,ALB,Kukës,admin
Bajram Curri,42.3333,20.0833,Albania,AL,ALB,Kukës,
Lezhe,41.788,19.654,Albania,AL,ALB,Lezhë,admin
Rreshen,41.7833,19.8167,Albania,AL,ALB,Lezhë,
Shkoder,42.0685,19.5188,Albania,AL,ALB,Shkodër,admin
Puke,42.0333,19.8833,Albania,AL,ALB,Shkodër,
Tirana,41.3275,19.8189,Albania,AL,ALB,Tiranë,primary
Vlore,40.4774,19.4982,Albania,AL,ALB,Vlorë,admin
Sarande,39.877,20,Albania,AL,ALB,Vlorë,
Adrar,27.87,-0.29,Algeria,DZ,DZA,Adrar,admin
Timimoun,29.2365,0.27,Algeria,DZ,DZA,Adrar,
Reggane,26.7,0.1666,Algeria,DZ,DZA,Adrar,
Ain Defla,36.2641,1.9679,Algeria,DZ,DZA,Aïn Defla,admin
Ain Temouchent,35.2975,-1.1404,Algeria,DZ,DZA,Aïn Temouchent,admin
Algiers,36.7631,3.0506,Algeria,DZ,DZA,Alger,primary
Annaba,36.92,7.76,Algeria,DZ,DZA,Annaba,admin
Batna,35.57,6.17,Algeria,DZ,DZA,Batna,admin
Bechar,31.6111,-2.23,Algeria,DZ,DZA,Béchar,admin
Abadla,31.0171,-2.7333,Algeria,DZ,DZA,Béchar,
Beni Ounif,32.0493,-1.2514,Algeria,DZ,DZA,Béchar,
Bejaia,36.7604,5.07,Algeria,DZ,DZA,Bejaïa,admin
Biskra,34.86,5.73,Algeria,DZ,DZA,Biskra,admin
Blida,36.4203,2.83,Algeria,DZ,DZA,Blida,admin
Bordj Bou Arreridj,36.059,4.63,Algeria,DZ,DZA,Bordj Bou Arréridj,admin
Bouira,36.3805,3.9,Algeria,DZ,DZA,Bouira,admin
Boumerdes,36.759,3.4748,Algeria,DZ,DZA,Boumerdes,admin
Chlef,36.1704,1.32,Algeria,DZ,DZA,Chlef,admin
Constantine,36.36,6.5999,Algeria,DZ,DZA,Constantine,admin
Djelfa,34.68,3.25,Algeria,DZ,DZA,Djelfa,admin
El Bayadh,33.6904,1.01,Algeria,DZ,DZA,El Bayadh,admin
El Oued,33.3704,6.86,Algeria,DZ,DZA,El Oued,admin
El Tarf,36.7672,8.3138,Algeria,DZ,DZA,El Tarf,admin
Ghardaia,32.49,3.67,Algeria,DZ,DZA,Ghardaïa,admin
El Golea,30.5666,2.8833,Algeria,DZ,DZA,Ghardaïa,
Guelma,36.466,7.428,Algeria,DZ,DZA,Guelma,admin
Illizi,26.4834,8.4666,Algeria,DZ,DZA,Illizi,admin
Djanet,24.5529,9.4823,Algeria,DZ,DZA,Illizi,
I-n-Amenas,28.0503,9.55,Algeria,DZ,DZA,Illizi,
Jijel,36.822,5.766,Algeria,DZ,DZA,Jijel,admin
Khenchela,35.4358,7.1433,Algeria,DZ,DZA,Khenchela,admin
Laghouat,33.81,2.88,Algeria,DZ,DZA,Laghouat,admin
M'Sila,35.7,4.545,Algeria,DZ,DZA,M’sila,admin
Mascara,35.4004,0.14,Algeria,DZ,DZA,Mascara,admin
Medea,36.2704,2.77,Algeria,DZ,DZA,Médéa,admin
Mila,36.4503,6.2644,Algeria,DZ,DZA,Mila,admin
Mostaganem,35.9404,0.09,Algeria,DZ,DZA,Mostaganem,admin
Naama,33.2667,-0.3167,Algeria,DZ,DZA,Naama,admin
Ain Sefra,32.7604,-0.5799,Algeria,DZ,DZA,Naama,
Oran,35.71,-0.62,Algeria,DZ,DZA,Oran,admin
Ouargla,31.97,5.34,Algeria,DZ,DZA,Ouargla,admin
Touggourt,33.1,6.06,Algeria,DZ,DZA,Ouargla,
Hassi Messaoud,31.7023,6.0545,Algeria,DZ,DZA,Ouargla,
Oum el Bouaghi,35.85,7.15,Algeria,DZ,DZA,Oum el Bouaghi,admin
Relizane,35.7373,0.556,Algeria,DZ,DZA,Relizane,admin
Saida,34.8404,0.14,Algeria,DZ,DZA,Saïda,admin
Setif,36.18,5.4,Algeria,DZ,DZA,Sétif,admin
Sidi Bel Abbes,35.1903,-0.64,Algeria,DZ,DZA,Sidi Bel Abbès,admin
Skikda,36.8804,6.9,Algeria,DZ,DZA,Skikda,admin
Souk Ahras,36.2904,7.95,Algeria,DZ,DZA,Souk Ahras,admin
Tamanrasset,22.785,5.5228,Algeria,DZ,DZA,Tamanrasset,admin
I-n-Salah,27.2166,2.4666,Algeria,DZ,DZA,Tamanrasset,
I-n-Amguel,23.6939,5.1647,Algeria,DZ,DZA,Tamanrasset,
Tebessa,35.4104,8.12,Algeria,DZ,DZA,Tébessa,admin
Tiaret,35.3804,1.32,Algeria,DZ,DZA,Tiaret,admin
Tindouf,27.6742,-8.1478,Algeria,DZ,DZA,Tindouf,admin
Tipasa,36.5897,2.4475,Algeria,DZ,DZA,Tipaza,admin
Tissemsilt,35.6072,1.8108,Algeria,DZ,DZA,Tissemsilt,admin
Tizi Ouzou,36.8,4.0333,Algeria,DZ,DZA,Tizi Ouzou,admin
Tlemcen,34.8904,-1.32,Algeria,DZ,DZA,Tlemcen,admin
Pago Pago,-14.274,-170.7046,American Samoa,AS,ASM,,primary
Andorra la Vella,42.5,1.5165,Andorra,AD,AND,Andorra la Vella,primary
Canillo,42.567,1.5981,Andorra,AD,AND,Canillo,admin
Encamp,42.5361,1.5828,Andorra,AD,AND,Encamp,admin
Escaldes-Engordany,42.5085,1.5385,Andorra,AD,AND,Escaldes-Engordany,admin
La Massana,42.5434,1.5148,Andorra,AD,AND,La Massana,admin
Ordino,42.5563,1.5327,Andorra,AD,AND,Ordino,admin
Sant Julia de Loria,42.4664,1.4933,Andorra,AD,AND,Sant Julià de Lòria,admin
Caxito,-8.5795,13.66,Angola,AO,AGO,Bengo,admin
Ambriz,-7.855,13.125,Angola,AO,AGO,Bengo,
Lobito,-12.37,13.5412,Angola,AO,AGO,Benguela,
Benguela,-12.5783,13.4072,Angola,AO,AGO,Benguela,admin
Cubal,-13.0396,14.24,Angola,AO,AGO,Benguela,
Cuito,-12.38,16.94,Angola,AO,AGO,Bié,admin
Camacupa,-12.0196,17.47,Angola,AO,AGO,Bié,
Calenga,-11.3196,16.2,Angola,AO,AGO,Bié,
Cabinda,-5.5596,12.19,Angola,AO,AGO,Cabinda,admin
Ondjiva,-17.0696,15.73,Angola,AO,AGO,Cunene,admin
Chitado,-17.3196,13.92,Angola,AO,AGO,Cunene,
Xangongo,-16.74,14.97,Angola,AO,AGO,Cunene,
Huambo,-12.75,15.76,Angola,AO,AGO,Huambo,admin
Lubango,-14.91,13.49,Angola,AO,AGO,Huíla,
Lubango,-14.9167,13.5,Angola,AO,AGO,Huíla,admin
Chibemba,-15.7496,14.08,Angola,AO,AGO,Huíla,
Chibia,-15.1896,13.69,Angola,AO,AGO,Huíla,
Quipungo,-14.8295,14.55,Angola,AO,AGO,Huíla,
Menongue,-14.6666,17.7,Angola,AO,AGO,Kuando Kubango,admin
Mavinga,-15.7895,20.36,Angola,AO,AGO,Kuando Kubango,
Luiana,-17.3695,23,Angola,AO,AGO,Kuando Kubango,
Cuito Cuanavale,-15.1596,19.17,Angola,AO,AGO,Kuando Kubango,
Mucusso,-18.0195,21.43,Angola,AO,AGO,Kuando Kubango,
N'dalatando,-9.2995,14.91,Angola,AO,AGO,Kwanza Norte,admin
Camabatela,-8.1896,15.37,Angola,AO,AGO,Kwanza Norte,
Dondo,-9.69,14.43,Angola,AO,AGO,Kwanza Norte,
Sumbe,-11.21,13.85,Angola,AO,AGO,Kwanza Sul,admin
Uacu Cungo,-11.3595,15.12,Angola,AO,AGO,Kwanza Sul,
Quibala,-10.7296,14.98,Angola,AO,AGO,Kwanza Sul,
Calulo,-9.9996,14.9,Angola,AO,AGO,Kwanza Sul,
Luanda,-8.8383,13.2344,Angola,AO,AGO,Luanda,primary
Dundo,-7.38,20.83,Angola,AO,AGO,Lunda Norte,admin
Capenda Camulemba,-9.4196,18.43,Angola,AO,AGO,Lunda Norte,
Lucapa,-8.4196,20.74,Angola,AO,AGO,Lunda Norte,
Saurimo,-9.6596,20.39,Angola,AO,AGO,Lunda Sul,admin
Muconda,-10.5996,21.32,Angola,AO,AGO,Lunda Sul,
Cacolo,-10.1496,19.26,Angola,AO,AGO,Lunda Sul,
Malanje,-9.54,16.34,Angola,AO,AGO,Malanje,admin
Luena,-11.79,19.9,Angola,AO,AGO,Moxico,admin
Luau,-10.7095,22.23,Angola,AO,AGO,Moxico,
Cangamba,-13.6996,19.86,Angola,AO,AGO,Moxico,
Cazombo,-11.8896,22.9,Angola,AO,AGO,Moxico,
Namibe,-15.19,12.16,Angola,AO,AGO,Namibe,admin
Tombua,-15.8,11.86,Angola,AO,AGO,Namibe,
Uige,-7.62,15.05,Angola,AO,AGO,Uíge,admin
Songo,-7.3496,14.85,Angola,AO,AGO,Uíge,
Mbanza Congo,-6.2696,14.24,Angola,AO,AGO,Zaire,admin
Soio,-6.1296,12.37,Angola,AO,AGO,Zaire,
Nzeto,-7.2296,12.86,Angola,AO,AGO,Zaire,
Saint John's,17.118,-61.85,Antigua And Barbuda,AG,ATG,Saint John,primary
La Plata,-34.9096,-57.96,Argentina,AR,ARG,Buenos Aires,admin
Mar del Plata,-38,-57.58,Argentina,AR,ARG,Buenos Aires,minor
Bahia Blanca,-38.74,-62.265,Argentina,AR,ARG,Buenos Aires,minor
San Nicolas de los Arroyos,-33.33,-60.24,Argentina,AR,ARG,Buenos Aires,minor
Tandil,-37.32,-59.15,Argentina,AR,ARG,Buenos Aires,minor
Zarate,-34.0896,-59.04,Argentina,AR,ARG,Buenos Aires,minor
Pergamino,-33.8996,-60.57,Argentina,AR,ARG,Buenos Aires,minor
Olavarria,-36.9,-60.33,Argentina,AR,ARG,Buenos Aires,minor
Junin,-34.5846,-60.9589,Argentina,AR,ARG,Buenos Aires,minor
Lujan,-34.5796,-59.11,Argentina,AR,ARG,Buenos Aires,minor
Campana,-34.16,-58.96,Argentina,AR,ARG,Buenos Aires,minor
Necochea,-38.56,-58.75,Argentina,AR,ARG,Buenos Aires,minor
Punta Alta,-38.88,-62.08,Argentina,AR,ARG,Buenos Aires,minor
Chivilcoy,-34.9,-60.04,Argentina,AR,ARG,Buenos Aires,minor
Azul,-36.7796,-59.87,Argentina,AR,ARG,Buenos Aires,minor
Mercedes,-34.66,-59.44,Argentina,AR,ARG,Buenos Aires,minor
Tres Arroyos,-38.37,-60.2699,Argentina,AR,ARG,Buenos Aires,minor
Nueve de Julio,-35.446,-60.89,Argentina,AR,ARG,Buenos Aires,minor
Chacabuco,-34.65,-60.49,Argentina,AR,ARG,Buenos Aires,minor
Coronel Suarez,-37.4666,-61.9166,Argentina,AR,ARG,Buenos Aires,minor
Dolores,-36.33,-57.69,Argentina,AR,ARG,Buenos Aires,minor
Lincoln,-34.88,-61.5399,Argentina,AR,ARG,Buenos Aires,minor
Veinticinco de Mayo,-35.43,-60.18,Argentina,AR,ARG,Buenos Aires,minor
Chascomus,-35.5662,-58.0166,Argentina,AR,ARG,Buenos Aires,minor
Balcarce,-37.8333,-58.25,Argentina,AR,ARG,Buenos Aires,minor
Lobos,-35.1849,-59.0947,Argentina,AR,ARG,Buenos Aires,minor
Mar de Ajo,-36.7162,-56.6766,Argentina,AR,ARG,Buenos Aires,
Benito Juarez,-37.6655,-59.8,Argentina,AR,ARG,Buenos Aires,minor
Carhue,-37.1829,-62.7333,Argentina,AR,ARG,Buenos Aires,minor
Pedro Luro,-39.4833,-62.6833,Argentina,AR,ARG,Buenos Aires,
Darregueira,-37.6996,-63.1666,Argentina,AR,ARG,Buenos Aires,
Villalonga,-39.8829,-62.5833,Argentina,AR,ARG,Buenos Aires,
Buenos Aires,-34.6025,-58.3975,Argentina,AR,ARG,"Buenos Aires, Ciudad Autónoma de",primary
Esquel,-42.9,-71.3166,Argentina,AR,ARG,"Buenos Aires, Ciudad Autónoma de",minor
El Maiten,-42.05,-71.1666,Argentina,AR,ARG,"Buenos Aires, Ciudad Autónoma de",
San Fernando del Valle de Catamarca,-28.47,-65.78,Argentina,AR,ARG,Catamarca,admin
Belen,-27.6496,-67.0333,Argentina,AR,ARG,Catamarca,minor
Chumbicha,-28.8666,-66.2333,Argentina,AR,ARG,Catamarca,minor
Tinogasta,-28.0666,-67.5666,Argentina,AR,ARG,Catamarca,minor
Resistencia,-27.46,-58.99,Argentina,AR,ARG,Chaco,admin
Presidencia Roque Saenz Pena,-26.79,-60.45,Argentina,AR,ARG,Chaco,minor
Villa Angela,-27.5833,-60.7167,Argentina,AR,ARG,Chaco,minor
Charata,-27.2163,-61.2,Argentina,AR,ARG,Chaco,minor
Castelli,-25.9495,-60.6166,Argentina,AR,ARG,Chaco,minor
Pampa del Infierno,-26.5166,-61.1666,Argentina,AR,ARG,Chaco,minor
Comodoro Rivadavia,-45.87,-67.5,Argentina,AR,ARG,Chubut,minor
Rawson,-43.3,-65.1,Argentina,AR,ARG,Chubut,admin
Trelew,-43.25,-65.33,Argentina,AR,ARG,Chubut,
Puerto Madryn,-42.77,-65.04,Argentina,AR,ARG,Chubut,minor
Sarmiento,-45.6,-69.0833,Argentina,AR,ARG,Chubut,minor
Alto Rio Senguer,-45.0333,-70.8333,Argentina,AR,ARG,Chubut,minor
Gastre,-42.283,-69.2333,Argentina,AR,ARG,Chubut,minor
Telsen,-42.3996,-66.95,Argentina,AR,ARG,Chubut,minor
Rio Mayo,-45.6834,-70.2666,Argentina,AR,ARG,Chubut,
Cordoba,-31.4,-64.1823,Argentina,AR,ARG,Córdoba,admin
Rio Cuarto,-33.13,-64.35,Argentina,AR,ARG,Córdoba,minor
Villa Maria,-32.41,-63.26,Argentina,AR,ARG,Córdoba,minor
Villa Carlos Paz,-31.42,-64.5,Argentina,AR,ARG,Córdoba,
San Francisco,-31.43,-62.09,Argentina,AR,ARG,Córdoba,minor
Rio Tercero,-32.1796,-64.12,Argentina,AR,ARG,Córdoba,
Alta Gracia,-31.66,-64.43,Argentina,AR,ARG,Córdoba,minor
Bell Ville,-32.6,-62.68,Argentina,AR,ARG,Córdoba,minor
Villa Rumipal,-32.1833,-64.4833,Argentina,AR,ARG,Córdoba,
Corrientes,-27.49,-58.81,Argentina,AR,ARG,Corrientes,admin
Goya,-29.14,-59.27,Argentina,AR,ARG,Corrientes,minor
San Lorenzo,-28.12,-58.77,Argentina,AR,ARG,Corrientes,
Mercedes,-29.1796,-58.08,Argentina,AR,ARG,Corrientes,minor
Parana,-31.7333,-60.5333,Argentina,AR,ARG,Entre Ríos,admin
Concordia,-31.3896,-58.03,Argentina,AR,ARG,Entre Ríos,minor
Gualeguaychu,-33.02,-58.52,Argentina,AR,ARG,Entre Ríos,minor
Concepcion del Uruguay,-32.48,-58.24,Argentina,AR,ARG,Entre Ríos,minor
Gualeguay,-33.15,-59.34,Argentina,AR,ARG,Entre Ríos,minor
Victoria,-32.61,-60.18,Argentina,AR,ARG,Entre Ríos,minor
Formosa,-26.1728,-58.1828,Argentina,AR,ARG,Formosa,admin
Ingeniero Guillermo N. Juarez,-23.9,-61.85,Argentina,AR,ARG,Formosa,minor
Comandante Fontana,-25.3333,-59.6833,Argentina,AR,ARG,Formosa,minor
Las Lomitas,-24.6996,-60.6,Argentina,AR,ARG,Formosa,
San Salvador de Jujuy,-24.1833,-65.3,Argentina,AR,ARG,Jujuy,admin
San Pedro,-24.2196,-64.87,Argentina,AR,ARG,Jujuy,minor
Libertador General San Martin,-23.8195,-64.79,Argentina,AR,ARG,Jujuy,minor
Humahuaca,-23.2,-65.3499,Argentina,AR,ARG,Jujuy,minor
Rinconada,-22.4329,-66.1666,Argentina,AR,ARG,Jujuy,minor
Abra Pampa,-22.7167,-65.7,Argentina,AR,ARG,Jujuy,minor
Susques,-23.4167,-66.4833,Argentina,AR,ARG,Jujuy,minor
Santa Rosa,-36.62,-64.3,Argentina,AR,ARG,La Pampa,admin
General Pico,-35.6596,-63.77,Argentina,AR,ARG,La Pampa,minor
Veinticinco de Mayo,-37.8,-67.6833,Argentina,AR,ARG,La Pampa,minor
Rio Colorado,-38.9666,-64.0833,Argentina,AR,ARG,La Pampa,
Victorica,-36.2163,-65.45,Argentina,AR,ARG,La Pampa,minor
La Rioja,-29.41,-66.85,Argentina,AR,ARG,La Rioja,admin
Chilecito,-29.1655,-67.5,Argentina,AR,ARG,La Rioja,minor
Chamical,-30.3496,-66.3167,Argentina,AR,ARG,La Rioja,minor
Chepes,-31.35,-66.6,Argentina,AR,ARG,La Rioja,minor
Mendoza,-32.8833,-68.8166,Argentina,AR,ARG,Mendoza,admin
San Martin,-33.07,-68.49,Argentina,AR,ARG,Mendoza,minor
San Rafael,-34.6,-68.3333,Argentina,AR,ARG,Mendoza,minor
Las Heras,-32.825,-68.8017,Argentina,AR,ARG,Mendoza,minor
Tunuyan,-33.5662,-69.0167,Argentina,AR,ARG,Mendoza,minor
Malargue,-35.4661,-69.5833,Argentina,AR,ARG,Mendoza,minor
La Paz,-33.4661,-67.55,Argentina,AR,ARG,Mendoza,minor
Uspallata,-32.5931,-69.346,Argentina,AR,ARG,Mendoza,
Posadas,-27.3578,-55.8851,Argentina,AR,ARG,Misiones,admin
Eldorado,-26.2,-54.6,Argentina,AR,ARG,Misiones,minor
Neuquen,-38.95,-68.06,Argentina,AR,ARG,Neuquén,admin
Cutral-Co,-38.94,-69.24,Argentina,AR,ARG,Neuquén,
Zapala,-38.9,-70.0667,Argentina,AR,ARG,Neuquén,minor
Chos Malal,-37.383,-70.2666,Argentina,AR,ARG,Neuquén,minor
Las Lajas,-38.5163,-70.3666,Argentina,AR,ARG,Neuquén,minor
Viedma,-40.8,-63,Argentina,AR,ARG,Río Negro,admin
San Carlos de Bariloche,-41.15,-71.3,Argentina,AR,ARG,Río Negro,minor
General Roca,-39.02,-67.61,Argentina,AR,ARG,Río Negro,
Choele Choel,-39.2666,-65.6833,Argentina,AR,ARG,Río Negro,minor
San Antonio Oeste,-40.7329,-64.9333,Argentina,AR,ARG,Río Negro,minor
General Conesa,-40.1,-64.4333,Argentina,AR,ARG,Río Negro,minor
Sierra Colorada,-40.5829,-67.8,Argentina,AR,ARG,Río Negro,minor
Ingeniero Jacobacci,-41.3,-69.5833,Argentina,AR,ARG,Río Negro,
Comallo,-41.0333,-70.2666,Argentina,AR,ARG,Río Negro,
Salta,-24.7834,-65.4166,Argentina,AR,ARG,Salta,admin
San Ramon de la Nueva Oran,-23.14,-64.32,Argentina,AR,ARG,Salta,minor
Tartagal,-22.55,-63.81,Argentina,AR,ARG,Salta,minor
General Martin Miguel de Guemes,-24.6666,-65.05,Argentina,AR,ARG,Salta,minor
Joaquin V. Gonzalez,-25.0833,-64.1834,Argentina,AR,ARG,Salta,minor
Cafayate,-26.0829,-65.9666,Argentina,AR,ARG,Salta,minor
Cerrillos,-24.8996,-65.4833,Argentina,AR,ARG,Salta,minor
San Antonio de los Cobres,-24.1829,-66.35,Argentina,AR,ARG,Salta,minor
Los Blancos,-23.5996,-62.6,Argentina,AR,ARG,Salta,
San Juan,-31.55,-68.52,Argentina,AR,ARG,San Juan,admin
Rodeo,-30.2156,-69.14,Argentina,AR,ARG,San Juan,minor
San Luis,-33.3,-66.35,Argentina,AR,ARG,San Luis,admin
Villa Mercedes,-33.6896,-65.47,Argentina,AR,ARG,San Luis,minor
Rio Gallegos,-51.6333,-69.2166,Argentina,AR,ARG,Santa Cruz,admin
El Calafate,-50.3333,-72.3,Argentina,AR,ARG,Santa Cruz,minor
Perito Moreno,-46.6,-70.9334,Argentina,AR,ARG,Santa Cruz,minor
Puerto Deseado,-47.75,-65.9,Argentina,AR,ARG,Santa Cruz,minor
Gobernador Gregores,-48.7666,-70.25,Argentina,AR,ARG,Santa Cruz,minor
San Julian,-49.3,-67.7167,Argentina,AR,ARG,Santa Cruz,minor
Veintiocho de Noviembre,-51.65,-72.3,Argentina,AR,ARG,Santa Cruz,
Comandante Luis Piedra Buena,-49.9745,-68.9035,Argentina,AR,ARG,Santa Cruz,
Rosario,-32.9511,-60.6663,Argentina,AR,ARG,Santa Fe,minor
Santa Fe,-31.6239,-60.69,Argentina,AR,ARG,Santa Fe,admin
Reconquista,-29.1395,-59.65,Argentina,AR,ARG,Santa Fe,minor
Rafaela,-31.25,-61.5,Argentina,AR,ARG,Santa Fe,minor
Venado Tuerto,-33.7496,-61.97,Argentina,AR,ARG,Santa Fe,
Villa Constitucion,-33.23,-60.35,Argentina,AR,ARG,Santa Fe,minor
Sunchales,-30.9329,-61.5666,Argentina,AR,ARG,Santa Fe,
Vera,-29.4662,-60.2166,Argentina,AR,ARG,Santa Fe,minor
San Justo,-30.7829,-60.5833,Argentina,AR,ARG,Santa Fe,minor
Santiago del Estero,-27.7833,-64.2667,Argentina,AR,ARG,Santiago del Estero,admin
Anatuya,-28.4661,-62.8333,Argentina,AR,ARG,Santiago del Estero,minor
Frias,-28.6496,-65.15,Argentina,AR,ARG,Santiago del Estero,minor
Monte Quemado,-25.7996,-62.8666,Argentina,AR,ARG,Santiago del Estero,minor
Ushuaia,-54.79,-68.31,Argentina,AR,ARG,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",admin
Rio Grande,-53.7914,-67.699,Argentina,AR,ARG,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",minor
San Miguel de Tucuman,-26.816,-65.2166,Argentina,AR,ARG,Tucumán,admin
Trancas,-26.2167,-65.2833,Argentina,AR,ARG,Tucumán,minor
Ashtarak,40.3017,44.3592,Armenia,AM,ARM,Aragatsotn,admin
Artashat,39.9539,44.5506,Armenia,AM,ARM,Ararat,admin
Armavir,40.1545,44.0382,Armenia,AM,ARM,Armavir,admin
Gavarr,40.3589,45.1267,Armenia,AM,ARM,Geghark’unik’,admin
Hrazdan,40.4941,44.7602,Armenia,AM,ARM,Kotayk’,admin
Vanadzor,40.8128,44.4883,Armenia,AM,ARM,Lorri,admin
Gyumri,40.7894,43.8475,Armenia,AM,ARM,Shirak,admin
Kapan,39.2075,46.4058,Armenia,AM,ARM,Syunik’,admin
Ijevan,40.8788,45.1485,Armenia,AM,ARM,Tavush,admin
Ijevan,40.8756,45.1492,Armenia,AM,ARM,Tavush,
Yeghegnadzor,39.7611,45.3333,Armenia,AM,ARM,Vayots’ Dzor,admin
Yerevan,40.1812,44.5136,Armenia,AM,ARM,Yerevan,primary
Oranjestad,12.5304,-70.029,Aruba,AW,ABW,,primary
Canberra,-35.283,149.129,Australia,AU,AUS,Australian Capital Territory,primary
Sydney,-33.92,151.1852,Australia,AU,AUS,New South Wales,admin
Newcastle,-32.8453,151.815,Australia,AU,AUS,New South Wales,
Wollongong,-34.4154,150.89,Australia,AU,AUS,New South Wales,
Albury,-36.06,146.92,Australia,AU,AUS,New South Wales,
Nowra,-34.8828,150.6,Australia,AU,AUS,New South Wales,
Coffs Harbour,-30.3071,153.1123,Australia,AU,AUS,New South Wales,
Wagga Wagga,-35.1222,147.34,Australia,AU,AUS,New South Wales,
Port Macquarie,-31.445,152.9187,Australia,AU,AUS,New South Wales,
Taree,-31.8976,152.4618,Australia,AU,AUS,New South Wales,
Orange,-33.28,149.1,Australia,AU,AUS,New South Wales,
Tamworth,-31.1026,150.9171,Australia,AU,AUS,New South Wales,
Tweed Heads,-28.1826,153.5466,Australia,AU,AUS,New South Wales,
Queanbeyan,-35.3546,149.2113,Australia,AU,AUS,New South Wales,
Dubbo,-32.26,148.5973,Australia,AU,AUS,New South Wales,
